"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 17, 2015","658.00","658.00","658.00","658.00","-","2.97%"
"Sep 16, 2015","639.00","639.00","639.00","639.00","-","2.08%"
"Sep 15, 2015","626.00","626.00","626.00","626.00","-","-0.48%"
"Sep 14, 2015","629.00","629.00","629.00","629.00","-","-0.94%"
"Sep 11, 2015","635.00","635.00","635.00","635.00","-","-0.78%"
"Sep 10, 2015","640.00","640.00","640.00","640.00","-","-0.31%"
"Sep 09, 2015","642.00","642.00","642.00","642.00","-","0.47%"
"Sep 08, 2015","639.00","639.00","639.00","639.00","-","-0.16%"
"Sep 07, 2015","640.00","640.00","640.00","640.00","-","1.11%"
"Sep 04, 2015","633.00","633.00","633.00","633.00","-","0.80%"
"Sep 03, 2015","628.00","628.00","628.00","628.00","-","1.95%"
"Sep 02, 2015","616.00","616.00","616.00","616.00","-","1.15%"
"Sep 01, 2015","609.00","609.00","609.00","609.00","-","1.84%"
"Aug 28, 2015","598.00","598.00","598.00","598.00","-","0.84%"
"Aug 27, 2015","593.00","593.00","593.00","593.00","-","-0.34%"
"Aug 26, 2015","595.00","595.00","595.00","595.00","-","-1.00%"
"Aug 25, 2015","601.00","601.00","601.00","601.00","-","-1.64%"
"Aug 24, 2015","611.00","611.00","611.00","611.00","-","-1.77%"
"Aug 21, 2015","622.00","622.00","622.00","622.00","-","-1.58%"
"Aug 20, 2015","632.00","632.00","632.00","632.00","-","-1.86%"
"Aug 19, 2015","644.00","644.00","644.00","644.00","-","-1.53%"
"Aug 18, 2015","654.00","654.00","654.00","654.00","-","-1.65%"
"Aug 17, 2015","665.00","665.00","665.00","665.00","-","-0.45%"
"Aug 14, 2015","668.00","668.00","668.00","668.00","-","-0.74%"
"Aug 13, 2015","673.00","673.00","673.00","673.00","-","0.00%"
"Aug 12, 2015","673.00","673.00","673.00","673.00","-","-0.59%"
"Aug 11, 2015","677.00","677.00","677.00","677.00","-","-2.45%"
"Aug 10, 2015","694.00","694.00","694.00","694.00","-","-1.98%"
"Aug 07, 2015","708.00","708.00","708.00","708.00","-","-0.70%"
"Aug 06, 2015","713.00","713.00","713.00","713.00","-","-1.79%"
"Aug 05, 2015","726.00","726.00","726.00","726.00","-","-1.22%"
"Aug 04, 2015","735.00","735.00","735.00","735.00","-","-0.94%"
"Aug 03, 2015","742.00","742.00","742.00","742.00","-","-1.72%"
"Jul 31, 2015","755.00","755.00","755.00","755.00","-","-1.05%"
"Jul 30, 2015","763.00","763.00","763.00","763.00","-","-1.68%"
"Jul 29, 2015","776.00","776.00","776.00","776.00","-","-2.02%"
"Jul 28, 2015","792.00","792.00","792.00","792.00","-","-1.37%"
"Jul 27, 2015","803.00","803.00","803.00","803.00","-","-1.23%"
"Jul 24, 2015","813.00","813.00","813.00","813.00","-","-0.49%"
"Jul 23, 2015","817.00","817.00","817.00","817.00","-","-1.09%"
"Jul 22, 2015","826.00","826.00","826.00","826.00","-","-2.71%"
"Jul 21, 2015","849.00","849.00","849.00","849.00","-","-0.59%"
